kel_layanan,kel_icd,No DC,Nama DC,kode icd,deskripsi icd/Nama Penyakit,RS kompetensi
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17611,Cirrhosis & Alcoholic Hepatitis,K70.4,Alcoholic hepatic failure,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17611,Cirrhosis & Alcoholic Hepatitis,K70.9,"Alcoholic liver disease, unspecified",Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,10011,Liver Transplant,K72.0,Acute and subacute hepatic failure,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,10011,Liver Transplant,K72.1,Chronic hepatic failure,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,10011,Liver Transplant,K72.9,"Hepatic failure, unspecified",Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,10011,Liver Transplant,K74.0,Hepatic fibrosis,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,10011,Liver Transplant,K74.1,Hepatic sclerosis,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,10011,Liver Transplant,K74.2,Hepatic fibrosis with hepatic sclerosis,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,10011,Liver Transplant,K74.3,Primary biliary cirrhosis,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,10011,Liver Transplant,K74.4,Secondary biliary cirrhosis,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,10011,Liver Transplant,K74.5,"Biliary cirrhosis, unspecified",Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,10011,Liver Transplant,K74.6,Other and unspecified cirrhosis of liver,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17611,Cirrhosis & Alcoholic Hepatitis,K76.6,Portal hypertension,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17611,Cirrhosis & Alcoholic Hepatitis,K76.7,Hepatorenal syndrome,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17631,Pancreas Disorders except malignancy,B26.3,Mumps pancreatitis,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17631,Pancreas Disorders except malignancy,K85.0,Idiopathic acute pancreatitis,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17631,Pancreas Disorders except malignancy,K85.1,Biliary acute pancreatitis,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17631,Pancreas Disorders except malignancy,K85.2,Alcohol-induced acute pancreatitis,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17631,Pancreas Disorders except malignancy,K85.3,Drug-induced acute pancreatitis,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17631,Pancreas Disorders except malignancy,K85.8,Other acute pancreatitis,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17631,Pancreas Disorders except malignancy,K85.9,"Acute pancreatitis, unspecified",Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17631,Pancreas Disorders except malignancy,K86.0,Alcohol-induced chronic pancreatitis,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17631,Pancreas Disorders except malignancy,K86.1,Other chronic pancreatitis,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17631,Pancreas Disorders except malignancy,K86.2,Cyst of pancreas,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17631,Pancreas Disorders except malignancy,K86.3,Pseudocyst of pancreas,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17631,Pancreas Disorders except malignancy,K86.8,Other specified diseases of pancreas,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17631,Pancreas Disorders except malignancy,K86.9,"Disease of pancreas, unspecified",Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17631,Pancreas Disorders except malignancy,K87.1*,Disorders of pancreas in diseases classified elsewhere,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17631,Pancreas Disorders except malignancy,Q45.1,Annular pancreas,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17631,Pancreas Disorders except malignancy,Q45.2,Congenital pancreatic cyst,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17631,Pancreas Disorders except malignancy,S36.20,"Injury of pancreas, without open wound into cavity",Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17631,Pancreas Disorders except malignancy,S36.21,"Injury of pancreas, with open wound into cavity",Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",A06.4,Amoebic liver abscess,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B15.0,Hepatitis a with hepatic coma,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B15.9,Hepatitis a without hepatic coma,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B16.0,Acute hepatitis b with delta-agent (coinfection) with hepatitis coma,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B16.1,Acute hepatitis b with delta-agent (coinfection) without hepatitis coma,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B16.2,Acute hepatitis b without delta-agent with hepatic coma,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B16.9,Acute hepatitis b without delta-agent and without hepatatitis coma,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B17.0,Acute delta-(super)infection of hepatitis b carrier,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B17.1,Acute hepatitis c,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B17.2,Acute hepatitis e,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B17.8,Other specified acute viral hepatitis,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B17.9,"Acute viral hepatitis, unspecified",Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B18.0,Chronic viral hepatitis b with delta-agent,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,10011,Liver Transplant,B18.1,Chronic viral hepatitis b without delta-agent,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B18.10,Chronic viral hepatitis B without delta-agent (IM),Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B18.19,"Chronic hepatitis B, unspecified delta agent status (IM)",Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,10011,Liver Transplant,B18.2,Chronic viral hepatitis c,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B18.8,Other chronic viral hepatitis,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B18.9,"Chronic viral hepatitis, unspecified",Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B19.0,Unspecified viral hepatitis hepatic with coma,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B19.9,Unspecified viral hepatitis without hepatic coma,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B25.1,Cytomegaloviral hepatitis,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B25.2,Cytomegaloviral pancreatitis,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17641,"Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic",B58.1,Toxoplasma hepatitis,Utama
