kel_layanan,kel_icd,No DC,Nama DC,kode icd,deskripsi icd/Nama Penyakit,RS kompetensi
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N91.3,Primary oligomenorrhoea,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N91.4,Secondary oligomenorrhoea,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N91.5,"Oligomenorrhoea, unspecified",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N92.0,Excessive and frequent menstruation with regular cycle,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N92.1,Excessive and frequent menstruation with irregular cycle,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N92.2,Excessive menstruation at puberty,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N92.3,Ovulation bleeding,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N92.4,Excessive bleeding in the premenopausal period,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N92.5,Other specified irregular menstruation,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N92.6,"Irregular menstruation, unspecified",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N93.0,Postcoital and contact bleeding,Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N93.00,Contact bleeding (IM),Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N93.01,Postcoital bleeding (IM),Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N93.8,Other specified abnormal uterine and vaginal bleeding,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N93.9,"Abnormal uterine and vaginal bleeding, unspecified",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N94.0,Mittelschmerz,Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N94.1,Dyspareunia,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N94.2,Vaginismus,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N94.3,Premenstrual tension syndrome,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N94.4,Primary dysmenorrhoea,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N94.5,Secondary dysmenorrhoea,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N94.6,"Dysmenorrhoea, unspecified",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N94.8,Other specified conditions associated with female genital organs and menstrual cycle,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N94.9,Unspecified condition associated with female genital organs and menstrual cycle,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N95.0,Postmenopausal bleeding,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N95.1,Menopausal and female climacteric states,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N95.2,Postmenopausal atrophic vaginitis,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N95.3,States associated with artificial menopause,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N95.8,Other specified menopausal and perimenopausal disorders,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N95.9,"Menopausal and perimenopausal disorder, unspecified",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N96,Habitual aborter,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N97.0,Female infertility associated with anovulation,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N97.1,Female infertility of tubal origin,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N97.2,Female infertility of uterine origin,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N97.3,Female infertility of cervical origin,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N97.4,Female infertility associated with male factors,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N97.5,Female infertility associated with peritoneal factors (IM),Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N97.8,Female infertility of other origin,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N97.9,"Female infertility, unspecified",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N98.0,Infection associated with artificial insemination,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N98.1,Hyperstimulation of ovaries,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N98.2,Complications attempted introduction fertilized ovum following in vitro fertilization,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N98.3,Complications attempted introduction of embryo in embryo transfer,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N98.8,Other complications associated with artificial fertilization,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N98.9,"Complication associated with artificial fertilization, unspecified",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N99.2,Postoperative adhesions of vagina,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,23661,Menstrual and Other Female Reproductive System Disorders,N99.3,Prolapse of vaginal vault after hysterectomy,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O00.0,Abdominal pregnancy,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O00.1,Tubal pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O00.2,Ovarian pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O00.8,Other ectopic pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O00.9,"Ectopic pregnancy, unspecified",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O01.0,Classical hydatidiform mole,Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O01.1,Incomplete and partial hydatidiform mole,Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O01.9,"Hydatidiform mole, unspecified",Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O02.0,Blighted ovum and nonhydatidiform mole,Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O02.1,Missed abortion,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O02.8,Other specified abnormal products of conception,Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O02.9,"Abnormal product of conception, unspecified",Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O03.0,"Spontaneous abortion, incomplete abortion complicated by genital tract and pelvic infection",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O03.1,"Spontaneous abortion, incomplete abortion complicated by delayed or excessive haemorrhage",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O03.2,"Spontaneous abortion, incomplete, complicated by embolism",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O03.3,"Spontaneous abortion, incomplete, with other and unspecified complications",Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O03.4,"Spontaneous abortion, incomplete, without complication",Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O03.5,"Spontaneous abortion, complete or unspecified, complicated by genital tract and pelvic infection",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O03.6,"Spontaneous abortion, complete or unspecified, complicated by delayed or excessive haemorrhage",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O03.7,"Spontaneous abortion, complete or unspecified, complicated by embolism",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O03.8,"Spontaneous abortion, complete or unspecified, with other and unspecified complications",Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O03.9,"Spontaneous abortion, complete or unspecified, without complication",Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O04.0,"Medical abortion, incomplete, complicated by genital tract and pelvic infection",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O04.1,"Medical abortion, incomplete, complicated by delayed or excessive haemorrhage",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O04.2,"Medical abortion, incomplete, complicated by embolism",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O04.3,"Medical abortion, incomplete, with other and unspecified complications",Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O04.4,"Medical abortion, incomplete, without complication",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O04.5,"Medical abortion, complete or unspecified, complicated by genital tract and pelvic infection",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O04.6,"Medical abortion, complete or unspecified, complicated by delayed or excessive haemorrhage",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O04.7,"Medical abortion, complete or unspecified, complicated by embolism",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O04.8,"Medical abortion, complete or unspecified, with other and unspecified complications",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O04.9,"Medical abortion, complete or unspecified, without complication",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O05.0,"Other abortion, incomplete, complicated by genital tract and pelvic infection",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O05.1,"Other abortion, incomplete, complicated by delayed or excessive haemorrhage",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O05.2,"Other abortion, incomplete, complicated by embolism",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O05.3,"Other abortion, incomplete, with other and unspecified complications",Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O05.4,"Other abortion, incomplete, without complication",Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O05.5,"Other abortion, complete or unspecified, complicated by genital tract and pelvic infection",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O05.6,"Other abortion, complete or unspecified, complicated by delayed or excessive haemorrhage",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O05.7,"Other abortion, complete or unspecified, complicated by embolism",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O05.8,"Other abortion, complete or unspecified, with other and unspecified complications",Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O05.9,"Other abortion, complete or unspecified, without complication",Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O06.0,"Unspecified abortion, incomplete, complicated by genital tract and pelvic infection",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O06.1,"Unspecified abortion, incomplete, complicated by delayed or excessive haemorrhage",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O06.2,"Unspecified abortion, incomplete, complicated by embolism",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O06.3,"Unspecified abortion, incomplete, with other and unspecified complications",Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O06.4,"Unspecified abortion, incomplete, without complication",Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O06.5,"Unspecified abortion, complete or unspecified, complicated by genital tract and pelvic infection",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O06.6,"Unspecified abortion, complete or unspecified, complicated by delayed or excessive haemorrhage",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O06.7,"Unspecified abortion, complete or unspecified, complicated by embolism",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O06.8,"Unspecified abortion, complete or unspecified, with other and unspecified complications",Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O06.9,"Unspecified abortion, complete or unspecified, without complication",Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O07.0,"Failed medical abortion, complicated by genital tract and pelvic infection",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O07.1,Failed medical abortion complicated by delayed or excessive haemorrhage,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O07.2,"Failed medical abortion, complicated by embolism",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O07.3,"Failed medical abortion, with other and unspecified complications",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O07.4,"Failed medical abortion, without complication",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O07.5,"Other and unspecified failed attempted abortion, complicated by genital tract and pelvic infection",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O07.6,"Other and unspecified failed attempted abortion, complicated by delayed or excessive haemorrhage",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O07.7,"Other and unspecified failed attempted abortion, complicated by embolism",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O07.8,"Other and unspecified failed attempted abortion, with other and unspecified complications",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O07.9,"Other and unspecified failed attempted abortion, without complication",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O08.0,Genital tract and pelvic infection following abortion and ectopic and molar pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O08.1,Delayed or excessive haemorrhage following abortion and ectopic and molar pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O08.2,Embolism following abortion and ectopic and molar pregnancy,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O08.3,Shock following abortion and ectopic and molar pregnancy,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O08.4,Renal failure following abortion and ectopic and molar pregnancy,Paripurna
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O08.5,Metabolic disorders following abortion and ectopic and molar pregnancy,Paripurna
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O08.6,Damage to pelvic organs and tissues following abortion and ectopic and molar pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O08.7,Other venous complications following abortion and ectopic and molar pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O08.8,Other complications following abortion and ectopic and molar pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O08.9,"Complication following abortion and ectopic and molar pregnancy, unspecified",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O10.0,"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium",Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O10.1,"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O10.2,"Pre-existing hypertensive renal disease complicating pregnancy, childbirth and puerperium",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O10.3,"Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O10.4,"Pre-existing secondary hypertension complicating pregnancy, childbirth and the puerperium",Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O10.9,"Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O11,Pre-existing hypertensive disorder with superimposed proteinuria,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O12.0,Gestational oedema,Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O12.1,Gestational proteinuria,Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O12.2,Gestational oedema with proteinuria,Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O13,Gestational [pregnancy-induced] hypertension without signification proteinuria,Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O14.0,Moderate pre-eclampsia,Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O14.1,Severe pre-eclampsia,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O14.2,HELLP syndrome,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O14.9,"Pre-eclampsia, unspecified",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O15.0,Eclampsia in pregnancy,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O15.1,Eclampsia in labour,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O15.2,Eclampsia in the puerperium,Paripurna
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O15.9,"Eclampsia, unspecified as to time period",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O16,Unspecified maternal hypertension,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O20.0,Threatened abortion,Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O20.8,Other haemorrhage in early pregnancy,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O20.9,"Haemorrhage in early pregnancy, unspecified",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O21.0,Mild hyperemesis gravidarum,Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O21.1,Hyperemesis gravidarum with metabolic disturbance,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O21.2,Late vomiting of pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O21.8,Other vomiting complicating pregnancy,Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O21.9,"Vomiting of pregnancy, unspecified",Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O22.0,Varicose veins of lower extremity in pregnancy,Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O22.1,Genital varices in pregnancy,Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O22.2,Superficial thrombophlebitis in pregnancy,Dasar
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O22.3,Deep phlebothrombosis in pregnancy,Paripurna
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O22.4,Haemorrhoids in pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O22.5,Cerebral venous thrombosis in pregnancy,Paripurna
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O22.8,Other venous complications in pregnancy,Paripurna
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O22.9,"Venous complication in pregnancy, unspecified",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O23.0,Infections of kidney in pregnancy,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O23.1,Infections of bladder in pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O23.2,Infections of urethra in pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O23.3,Infections of other parts of urinary tract in pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O23.4,Unspecified infection of urinary tract in pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O23.5,Infections of the genital tract in pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O23.9,Other and unspecified genitourinary tract infection in pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O24.0,"Pre-existing diabetes mellitus, insulin-dependent",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O24.1,"Pre-existing diabetes mellitus, non-insulin-dependent",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O24.2,Pre-existing malnutrition-related diabetes mellitus,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O24.3,"Pre-existing diabetes mellitus, unspecified",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O24.4,Diabetes mellitus arising in pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O24.9,"Diabetes mellitus in pregnancy, unspecified",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O25,Malnutrition in pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O26.0,Excessive weight gain in pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O26.1,Low weight gain in pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O26.2,Pregnancy care of habitual aborter,Paripurna
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O26.3,Retained intrauterine contraceptive device in pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O26.4,Herpes gestationis,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O26.5,Maternal hypotension syndrome,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O26.6,"Liver disorders in pregnancy, childbirth and the puerperium",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O26.7,"Subluxation of symphysis pubis in pregnancy, childbirth and the puerperium",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O26.8,Other specified pregnancy-related conditions,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O26.9,"Pregnancy-related condition, unspecified",Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O28.0,Abnormal haematological finding on antenatal screening of mother,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O28.1,Abnormal biochemical finding on antenatal screening of mother,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O28.2,Abnormal cytological finding on antenatal screening of mother,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O28.3,Abnormal ultrasonic finding on antenatal screening of mother,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O28.4,Abnormal radiological find on antenatal screening of mother,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O28.5,Abnormal chromosomal and genetic finding antenatal screening of mother,Paripurna
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O28.8,Other abnormal findings on antenatal screening of mother,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O28.9,"Abnormal finding on antenatal screening of mother, unspecified",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O29.0,Pulmonary complications of anaesthesia during pregnancy,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O29.1,Cardiac complications of anaesthesia during pregnancy,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O29.2,Central nervous system complications of anaesthesia during pregnancy,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O29.3,Toxic reaction to local anaesthesia during pregnancy,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O29.4,Spinal and epidural anaesthesia-induced headache during pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O29.5,Other complications of spinal and epidural anaesthesia during pregnancy,Madya
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O29.6,Failed or difficult intubation during pregnancy,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O29.8,Other complications of anaesthesia during pregnancy,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O29.9,"Complication of anaesthesia during pregnancy, unspecified",Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O30.0,Twin pregnancy,Utama
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O30.1,Triplet pregnancy,Paripurna
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O30.2,Quadruplet pregnancy,Paripurna
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O30.8,Other multiple gestation,Paripurna
Kelompok Layanan Ibu dan Ginekologi,icd 10,#N/A,#N/A,O30.9,"Multiple gestation, unspecified",Paripurna
